soil_type,n_ratio,p_ratio,k_ratio,ph_level,avg_temp,avg_humidity,avg_rainfall,water_availability,irrigation_type,land_area,season,crop,age,education,annual_income,farming_experience,agro_climatic_zone,using_uzhavan_app,watch_agri_youtube,in_whatsapp_groups,adoption_level,technologies_used
Alluvial,68,120,14,3.7,30.5,66.8,111.0,Low,Drip,7.1,Kharif,Millets,53,Postgraduate,798030,43,Hilly,0,1,0,Medium,"['Soil Testing Kit', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Drip Irrigation', 'Drone Spraying', 'Greenhouse / Polyhouse']"
Clay,75,20,173,3.9,15.5,42.3,82.2,High,Canal,14.1,Rabi,Paddy,71,Higher Secondary,841392,37,Dry,0,0,1,Medium,"['Drip Irrigation', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Farm Mechanization Tools']"
Alluvial,113,117,75,8.1,28.2,27.8,77.4,Medium,Borewell,2.2,Rabi,Millets,39,Higher Secondary,175596,30,Dry,0,1,0,Medium,"['Uzhavan Mobile App', 'Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Mulching Sheets']"
Black,3,123,67,5.2,29.9,33.3,204.1,Medium,Canal,16.2,Kharif,Millets,58,Postgraduate,817303,27,Delta,1,0,0,High,"['Weather Forecast Mobile App', 'Drip Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Alluvial,32,14,38,8.6,29.2,74.1,119.2,Low,Drip,1.2,Rabi,Millets,47,Degree,846166,48,Delta,0,1,0,Medium,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Drone Spraying', 'Mulching Sheets', 'Drip Irrigation']"
Black,108,12,34,7.3,37.8,67.7,210.6,Medium,Drip,3.1,Kharif,Millets,55,Middle,954367,15,Dry,0,0,1,Low,"['Uzhavan Mobile App', 'Drip Irrigation', 'Soil Moisture Sensor', 'Drone Spraying']"
Black,5,19,22,6.5,26.9,88.5,57.1,Medium,Canal,11.9,Kharif,Millets,28,Postgraduate,669170,39,Delta,0,1,1,High,"['Soil Testing Kit', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Drone Spraying']"
Clay,62,101,178,4.7,37.1,20.9,178.6,Medium,Rainfed,11.4,Kharif,Millets,61,No Formal,613519,34,Delta,0,1,0,Low,"['Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Sprinkler Irrigation']"
Red,98,32,61,8.4,21.5,85.0,53.9,Low,Sprinkler,9.3,Kharif,Millets,53,High,621355,37,Dry,0,1,0,Medium,"['Mulching Sheets', 'Soil Moisture Sensor', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Testing Kit']"
Sandy,69,102,85,3.8,20.3,47.8,23.8,High,Borewell,1.1,Rabi,Millets,52,Degree,790618,30,Delta,1,1,0,High,"['Sprinkler Irrigation', 'Uzhavan Mobile App', 'Drone Spraying', 'Mulching Sheets', 'Soil Moisture Sensor', 'Drip Irrigation', 'Soil Testing Kit']"
Clay,47,16,139,7.2,22.9,69.4,161.7,Low,Drip,5.9,Kharif,Millets,47,No Formal,780505,18,Coastal,1,0,0,Medium,"['Weather Forecast Mobile App', 'Drip Irrigation', 'Greenhouse / Polyhouse']"
Red,47,92,193,8.7,27.6,23.3,251.4,High,Rainfed,19.3,Kharif,Millets,54,Primary,498185,10,Delta,1,1,0,Low,"['Farm Mechanization Tools', 'Mulching Sheets', 'Soil Testing Kit', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse']"
Sandy,22,131,199,7.7,37.6,81.5,175.8,Medium,Rainfed,18.0,Rabi,Millets,67,Higher Secondary,236153,49,Hilly,1,1,1,Medium,"['Sprinkler Irrigation', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Mulching Sheets', 'Farm Mechanization Tools']"
Black,37,76,183,6.7,23.0,45.1,186.4,Low,Canal,18.0,Kharif,Millets,24,Diploma,537920,42,Coastal,0,1,1,High,"['Farm Mechanization Tools', 'Drip Irrigation', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Drone Spraying', 'Soil Moisture Sensor']"
Red,98,24,83,8.1,37.8,58.4,119.6,Low,Borewell,9.5,Kharif,Millets,29,Postgraduate,700935,5,Dry,0,0,1,Medium,"['Drip Irrigation', 'Mulching Sheets', 'Uzhavan Mobile App', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools']"
Sandy,4,124,176,9.7,25.8,30.1,38.9,High,Borewell,10.2,Kharif,Millets,59,Middle,353713,32,Dry,0,0,1,Low,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Drone Spraying']"
Sandy,105,50,195,7.6,24.1,42.4,130.9,High,Rainfed,14.4,Rabi,Millets,28,No Formal,87289,4,Delta,0,0,0,Low,"['Weather Forecast Mobile App', 'Drone Spraying']"
Red,29,23,29,3.7,19.4,81.7,186.7,High,Drip,14.0,Rabi,Millets,38,No Formal,761239,3,Delta,1,0,1,Medium,"['Drip Irrigation', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse']"
Sandy,68,127,74,9.2,25.9,77.3,46.0,High,Rainfed,16.6,Rabi,Millets,42,Primary,817077,42,Hilly,0,1,1,Medium,"['Drone Spraying', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Soil Testing Kit']"
Sandy,103,18,21,7.9,28.6,58.5,147.8,Medium,Canal,7.7,Kharif,Millets,60,Degree,182433,24,Coastal,1,0,1,Medium,"['Soil Moisture Sensor', 'Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation', 'Weather Forecast Mobile App', 'Sprinkler Irrigation']"
Alluvial,105,82,183,8.9,33.7,52.0,131.0,Low,Borewell,19.2,Rabi,Millets,44,Higher Secondary,307337,16,Delta,0,0,1,Low,"['Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Red,37,17,131,9.7,38.6,70.3,143.5,Medium,Sprinkler,7.0,Rabi,Millets,67,Postgraduate,284925,49,Hilly,1,0,0,Medium,"['Soil Testing Kit', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools']"
Black,16,74,150,8.7,15.6,47.9,191.3,Medium,Canal,12.7,Kharif,Millets,51,Middle,121128,20,Delta,1,0,0,Low,"['Farm Mechanization Tools', 'Sprinkler Irrigation', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Soil Testing Kit']"
Red,113,124,88,5.0,23.7,84.6,285.1,High,Drip,4.2,Rabi,Millets,38,No Formal,315496,3,Coastal,1,0,1,Low,"['Mulching Sheets', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Clay,64,49,145,8.8,24.2,62.1,253.5,Medium,Sprinkler,8.5,Kharif,Millets,32,Degree,420787,15,Hilly,0,0,0,Medium,"['Drip Irrigation', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Mulching Sheets']"
Black,33,31,60,5.2,24.4,42.7,189.4,High,Sprinkler,12.7,Rabi,Sugarcane,21,Postgraduate,866641,29,Coastal,1,1,0,High,"['Sprinkler Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Testing Kit', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Uzhavan Mobile App']"
Black,69,110,86,8.3,36.3,50.4,205.1,Medium,Sprinkler,4.0,Rabi,Millets,20,Higher Secondary,714228,21,Dry,1,1,0,Medium,"['Soil Moisture Sensor', 'Drone Spraying', 'Mulching Sheets', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Weather Forecast Mobile App']"
Alluvial,2,142,12,6.7,17.2,84.6,254.4,High,Canal,19.3,Kharif,Millets,73,Postgraduate,221059,41,Hilly,1,1,0,Medium,"['Mulching Sheets', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App']"
Sandy,69,87,140,6.7,24.9,67.5,90.9,Low,Rainfed,12.3,Rabi,Millets,38,Higher Secondary,543932,7,Coastal,1,0,0,Medium,"['Soil Testing Kit', 'Mulching Sheets', 'Uzhavan Mobile App', 'Farm Mechanization Tools', 'Drip Irrigation', 'Soil Moisture Sensor', 'Sprinkler Irrigation']"
Red,61,14,51,7.4,26.9,78.3,199.7,Low,Canal,13.2,Kharif,Millets,29,Postgraduate,244649,45,Delta,1,0,1,Medium,"['Greenhouse / Polyhouse', 'Drone Spraying', 'Mulching Sheets', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Drip Irrigation', 'Soil Testing Kit']"
Black,8,51,101,3.9,21.0,61.9,289.1,Medium,Sprinkler,19.1,Kharif,Millets,58,Degree,871706,33,Dry,0,0,1,High,"['Weather Forecast Mobile App', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Mulching Sheets']"
Red,66,78,168,5.5,22.4,59.3,263.5,Medium,Canal,10.0,Kharif,Millets,27,Primary,50609,34,Coastal,1,1,1,Medium,"['Soil Testing Kit', 'Mulching Sheets', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Drone Spraying', 'Weather Forecast Mobile App']"
Alluvial,126,22,143,6.7,39.5,53.8,247.1,Medium,Sprinkler,6.8,Rabi,Millets,68,Diploma,989238,9,Hilly,0,0,0,Medium,"['Farm Mechanization Tools', 'Mulching Sheets', 'Soil Moisture Sensor', 'Drip Irrigation', 'Greenhouse / Polyhouse']"
Alluvial,22,19,178,4.0,21.7,36.8,153.2,Medium,Rainfed,17.4,Kharif,Millets,34,Degree,768724,8,Coastal,0,1,0,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Drip Irrigation', 'Uzhavan Mobile App', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Farm Mechanization Tools']"
Sandy,68,68,128,3.8,19.9,80.6,57.3,Medium,Rainfed,7.4,Kharif,Millets,33,Higher Secondary,978483,48,Dry,1,1,0,High,"['Drone Spraying', 'Uzhavan Mobile App', 'Drip Irrigation', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Sprinkler Irrigation', 'Soil Testing Kit', 'Weather Forecast Mobile App']"
Clay,81,40,46,3.6,19.1,72.4,291.5,Low,Canal,13.8,Rabi,Millets,24,Postgraduate,125202,6,Delta,0,0,1,Medium,"['Drip Irrigation', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Mulching Sheets']"
Alluvial,0,44,109,4.5,37.5,31.2,200.5,Medium,Drip,18.1,Rabi,Millets,64,Degree,835162,8,Dry,0,0,1,Medium,"['Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Soil Moisture Sensor', 'Soil Testing Kit', 'Farm Mechanization Tools']"
Alluvial,55,142,117,4.7,23.6,32.9,140.3,High,Sprinkler,1.7,Kharif,Millets,38,Postgraduate,519756,17,Delta,1,0,1,Medium,"['Drip Irrigation', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Drone Spraying', 'Mulching Sheets']"
Red,93,50,140,5.2,36.7,24.9,42.1,Medium,Sprinkler,2.9,Kharif,Millets,56,Diploma,466523,44,Coastal,0,1,1,Medium,"['Drone Spraying', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Sprinkler Irrigation', 'Weather Forecast Mobile App']"
Alluvial,8,71,158,6.7,27.5,44.4,172.9,High,Canal,12.9,Kharif,Millets,25,Diploma,231861,6,Hilly,0,0,1,Medium,"['Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Uzhavan Mobile App', 'Soil Testing Kit', 'Sprinkler Irrigation']"
Alluvial,12,99,98,4.3,39.8,87.0,75.9,Medium,Canal,4.0,Kharif,Millets,28,Degree,970827,14,Delta,1,0,1,Medium,"['Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Mulching Sheets', 'Soil Testing Kit']"
Sandy,9,49,90,3.6,25.4,51.1,198.8,Low,Canal,5.0,Kharif,Millets,71,High,549492,39,Coastal,0,0,0,Low,"['Farm Mechanization Tools', 'Mulching Sheets', 'Soil Testing Kit']"
Sandy,77,25,47,5.7,22.3,63.7,222.2,Medium,Sprinkler,10.0,Kharif,Millets,55,Primary,695228,13,Hilly,0,1,1,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Moisture Sensor']"
Sandy,22,132,29,8.5,18.6,26.0,61.0,Medium,Drip,14.0,Rabi,Millets,21,Diploma,729641,11,Delta,0,1,1,Medium,"['Uzhavan Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Drip Irrigation']"
Black,113,6,176,4.7,32.2,74.3,263.5,Medium,Rainfed,1.2,Rabi,Millets,52,Middle,741804,14,Delta,0,0,1,Low,"['Soil Moisture Sensor', 'Mulching Sheets', 'Drone Spraying', 'Weather Forecast Mobile App', 'Farm Mechanization Tools']"
Sandy,68,34,169,7.3,31.1,74.7,102.9,Low,Sprinkler,11.6,Rabi,Millets,69,Middle,489419,24,Delta,0,0,0,Low,"['Mulching Sheets', 'Greenhouse / Polyhouse']"
Red,124,49,102,7.0,16.2,52.5,256.0,Low,Sprinkler,6.4,Rabi,Millets,70,Degree,390885,15,Dry,1,1,1,High,"['Drip Irrigation', 'Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Mulching Sheets', 'Sprinkler Irrigation', 'Drone Spraying', 'Soil Testing Kit']"
Sandy,34,142,75,9.5,17.7,24.3,107.7,Medium,Canal,8.6,Rabi,Millets,63,Postgraduate,479469,37,Delta,0,0,0,Low,"['Soil Testing Kit', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools']"
Black,78,65,23,4.3,27.5,92.1,122.2,Medium,Drip,6.3,Kharif,Millets,20,Primary,753473,43,Delta,1,0,0,Medium,"['Soil Testing Kit', 'Drip Irrigation', 'Uzhavan Mobile App', 'Soil Moisture Sensor']"
Black,7,64,124,7.9,23.5,81.7,58.4,High,Sprinkler,3.2,Rabi,Sugarcane,55,No Formal,932871,24,Delta,1,0,0,Low,"['Soil Moisture Sensor', 'Mulching Sheets', 'Soil Testing Kit']"
Alluvial,78,123,94,4.3,26.6,93.2,199.9,Medium,Sprinkler,15.8,Kharif,Millets,63,Middle,738612,45,Hilly,1,1,0,High,"['Farm Mechanization Tools', 'Soil Moisture Sensor', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Drone Spraying', 'Soil Testing Kit', 'Mulching Sheets', 'Drip Irrigation']"
Black,139,88,16,7.3,16.9,25.6,247.3,Medium,Rainfed,9.5,Kharif,Millets,59,Primary,958714,14,Coastal,0,1,0,Medium,"['Drip Irrigation', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Farm Mechanization Tools']"
Clay,93,54,170,5.7,19.9,68.1,108.0,Low,Borewell,8.8,Kharif,Millets,66,Diploma,320257,12,Delta,1,1,1,High,"['Weather Forecast Mobile App', 'Mulching Sheets', 'Soil Testing Kit', 'Drone Spraying', 'Drip Irrigation', 'Soil Moisture Sensor', 'Uzhavan Mobile App']"
Alluvial,35,116,52,5.1,22.5,24.9,138.5,High,Sprinkler,17.7,Rabi,Millets,63,Higher Secondary,228341,22,Coastal,0,0,0,Medium,"['Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Sprinkler Irrigation']"
Clay,101,90,123,3.6,30.1,32.4,233.5,Low,Drip,1.0,Kharif,Millets,36,Higher Secondary,271829,21,Delta,0,0,0,Low,"['Farm Mechanization Tools', 'Soil Testing Kit']"
Clay,45,102,75,9.1,25.4,90.4,297.0,Medium,Drip,18.7,Kharif,Millets,61,Degree,458790,39,Coastal,0,1,0,Medium,"['Soil Testing Kit', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Farm Mechanization Tools', 'Sprinkler Irrigation', 'Uzhavan Mobile App']"
Black,16,127,16,4.1,23.7,78.6,292.0,High,Sprinkler,11.0,Kharif,Sugarcane,29,Higher Secondary,96359,41,Delta,0,1,1,Medium,"['Mulching Sheets', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Drip Irrigation']"
Alluvial,119,66,168,8.1,22.2,92.1,29.5,Low,Canal,13.7,Rabi,Millets,39,Higher Secondary,426192,23,Delta,0,1,0,Medium,"['Weather Forecast Mobile App', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Soil Testing Kit', 'Sprinkler Irrigation', 'Drip Irrigation']"
Alluvial,126,56,128,8.2,15.2,42.2,93.6,Medium,Sprinkler,1.0,Rabi,Millets,27,No Formal,560423,28,Delta,0,0,0,Low,['Sprinkler Irrigation']
Clay,78,24,180,8.8,30.2,84.4,246.4,Medium,Canal,10.3,Kharif,Millets,26,Degree,271266,31,Delta,0,1,1,Medium,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Drone Spraying', 'Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation', 'Soil Moisture Sensor']"
Red,81,31,182,6.9,33.5,70.1,291.5,High,Canal,18.7,Rabi,Millets,55,Primary,551307,32,Delta,0,0,1,Low,"['Drone Spraying', 'Weather Forecast Mobile App', 'Drip Irrigation', 'Mulching Sheets', 'Sprinkler Irrigation']"
Black,5,89,85,5.9,29.7,39.5,148.5,Medium,Sprinkler,10.8,Rabi,Millets,43,Primary,776497,27,Coastal,0,1,0,Low,"['Soil Moisture Sensor', 'Drip Irrigation', 'Farm Mechanization Tools']"
Red,126,61,20,7.3,26.6,93.3,194.0,High,Sprinkler,15.6,Kharif,Millets,28,Degree,474421,48,Delta,1,1,1,High,"['Weather Forecast Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Sprinkler Irrigation', 'Uzhavan Mobile App', 'Drone Spraying']"
Black,87,8,91,7.9,28.0,34.6,275.7,High,Drip,9.6,Rabi,Sugarcane,70,Degree,215122,17,Hilly,0,0,0,Low,"['Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation']"
Black,83,103,159,6.3,16.4,87.4,146.3,Low,Borewell,3.4,Rabi,Millets,58,Higher Secondary,792436,17,Hilly,0,0,0,Medium,"['Drip Irrigation', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation']"
Alluvial,87,89,25,5.9,20.5,45.9,51.0,High,Canal,2.0,Kharif,Millets,32,No Formal,480171,46,Delta,0,1,1,Low,"['Mulching Sheets', 'Uzhavan Mobile App']"
Red,76,35,37,3.7,23.2,44.1,274.8,High,Sprinkler,9.6,Kharif,Millets,44,Diploma,636295,32,Hilly,0,0,1,Medium,"['Uzhavan Mobile App', 'Drone Spraying', 'Soil Moisture Sensor', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Sprinkler Irrigation']"
Red,17,59,186,7.6,25.8,91.8,190.7,Medium,Drip,15.3,Rabi,Millets,61,Diploma,60877,33,Dry,1,1,0,Medium,"['Soil Testing Kit', 'Soil Moisture Sensor', 'Drone Spraying', 'Farm Mechanization Tools', 'Uzhavan Mobile App']"
Alluvial,78,70,143,4.0,18.7,86.9,23.6,Low,Sprinkler,9.9,Kharif,Millets,24,Primary,216365,49,Coastal,1,1,1,Medium,"['Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Mulching Sheets', 'Drip Irrigation', 'Soil Testing Kit', 'Uzhavan Mobile App']"
Black,110,111,87,5.9,29.1,58.5,145.2,High,Rainfed,9.0,Rabi,Sugarcane,69,Diploma,950644,24,Dry,0,1,0,Medium,"['Uzhavan Mobile App', 'Farm Mechanization Tools', 'Soil Moisture Sensor', 'Drip Irrigation', 'Soil Testing Kit', 'Weather Forecast Mobile App']"
Red,86,112,5,9.9,32.1,73.4,153.0,Medium,Rainfed,6.5,Kharif,Millets,63,Postgraduate,958267,25,Dry,1,1,0,High,"['Drone Spraying', 'Soil Moisture Sensor', 'Mulching Sheets', 'Farm Mechanization Tools', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Drip Irrigation']"
Clay,113,22,172,4.4,38.5,79.4,62.9,High,Drip,17.1,Kharif,Paddy,24,Degree,827594,39,Hilly,0,1,0,High,"['Soil Testing Kit', 'Drip Irrigation', 'Drone Spraying', 'Soil Moisture Sensor', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Sprinkler Irrigation', 'Weather Forecast Mobile App']"
Alluvial,9,132,26,8.4,37.0,27.4,105.4,Low,Rainfed,11.6,Kharif,Millets,60,Primary,741494,35,Hilly,1,0,0,Medium,"['Drip Irrigation', 'Farm Mechanization Tools', 'Soil Testing Kit', 'Soil Moisture Sensor', 'Drone Spraying', 'Mulching Sheets']"
Clay,34,35,9,8.6,31.6,20.4,73.4,Low,Rainfed,15.7,Rabi,Millets,32,Higher Secondary,547237,3,Hilly,1,0,0,Medium,"['Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Drone Spraying', 'Farm Mechanization Tools']"
Clay,31,40,52,4.8,18.9,51.1,23.9,Low,Rainfed,5.2,Rabi,Millets,62,Degree,205021,13,Hilly,0,1,0,Medium,"['Mulching Sheets', 'Soil Testing Kit', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Sprinkler Irrigation']"
Red,88,98,58,9.6,25.4,58.3,165.8,Medium,Drip,15.8,Kharif,Millets,35,High,894013,48,Delta,1,0,1,Medium,"['Sprinkler Irrigation', 'Mulching Sheets', 'Weather Forecast Mobile App', 'Soil Testing Kit', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor']"
Red,64,71,40,7.1,31.1,41.9,79.8,High,Canal,13.1,Kharif,Millets,26,Primary,812749,1,Hilly,0,1,0,Low,"['Drone Spraying', 'Farm Mechanization Tools', 'Mulching Sheets', 'Drip Irrigation', 'Soil Moisture Sensor']"
Red,118,125,108,9.7,21.4,81.5,32.2,Low,Rainfed,17.1,Rabi,Millets,34,Postgraduate,61310,42,Coastal,1,1,0,Medium,"['Greenhouse / Polyhouse', 'Mulching Sheets', 'Soil Testing Kit', 'Drone Spraying', 'Uzhavan Mobile App', 'Weather Forecast Mobile App']"
Sandy,6,22,189,7.9,34.7,52.6,253.9,Low,Borewell,16.9,Kharif,Millets,35,Postgraduate,237736,47,Hilly,0,1,0,Medium,"['Soil Testing Kit', 'Drone Spraying', 'Greenhouse / Polyhouse', 'Sprinkler Irrigation']"
Red,31,65,177,5.7,20.8,58.9,41.3,High,Borewell,19.8,Rabi,Millets,60,Diploma,754775,20,Dry,0,1,1,Medium,"['Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Greenhouse / Polyhouse', 'Farm Mechanization Tools', 'Mulching Sheets', 'Drip Irrigation', 'Uzhavan Mobile App', 'Drone Spraying']"
